filename,max_x,max_y,min_x,min_y,label
AgNOR_0495.tiff,26,41,4,15,1
AgNOR_0495.tiff,71,23,42,0,2
AgNOR_0495.tiff,133,61,104,37,1
AgNOR_0495.tiff,143,117,121,88,2
AgNOR_0495.tiff,224,37,199,12,1
AgNOR_0495.tiff,228,96,200,71,2
AgNOR_0495.tiff,301,130,273,103,1
AgNOR_0495.tiff,276,62,246,41,1
AgNOR_0495.tiff,309,50,281,28,1
AgNOR_0495.tiff,333,126,312,103,1
AgNOR_0495.tiff,265,190,242,159,2
AgNOR_0495.tiff,250,150,224,122,3
AgNOR_0495.tiff,167,187,147,164,1
AgNOR_0495.tiff,138,181,117,159,1
AgNOR_0495.tiff,129,164,103,130,0
AgNOR_0495.tiff,53,193,9,167,2
AgNOR_0495.tiff,74,103,51,69,2
AgNOR_0495.tiff,105,91,78,69,1
AgNOR_0495.tiff,40,76,4,52,2
AgNOR_0495.tiff,30,137,3,112,1
AgNOR_0495.tiff,107,143,71,117,2
AgNOR_0495.tiff,163,143,143,116,1
AgNOR_0495.tiff,179,147,161,124,1
AgNOR_0495.tiff,241,203,220,172,4
AgNOR_0495.tiff,348,153,320,133,1
AgNOR_0495.tiff,353,117,332,78,3
AgNOR_0495.tiff,383,122,358,96,1
AgNOR_0495.tiff,450,89,423,64,2
AgNOR_0495.tiff,425,61,403,30,1
AgNOR_0495.tiff,494,155,460,130,1
AgNOR_0495.tiff,484,181,457,155,1
AgNOR_0495.tiff,483,52,457,23,3
AgNOR_0495.tiff,507,177,489,150,1
AgNOR_0495.tiff,528,102,494,78,2
AgNOR_0495.tiff,549,104,525,77,2
AgNOR_0495.tiff,580,54,552,29,1
AgNOR_0495.tiff,522,46,502,25,1
AgNOR_0495.tiff,510,30,489,10,1
AgNOR_0495.tiff,612,30,582,8,1
AgNOR_0495.tiff,619,77,597,46,1
AgNOR_0495.tiff,657,91,635,64,2
AgNOR_0495.tiff,706,148,682,119,1
AgNOR_0495.tiff,738,156,708,131,1
AgNOR_0495.tiff,696,43,672,16,1
AgNOR_0495.tiff,749,125,721,98,2
AgNOR_0495.tiff,840,123,816,97,0
AgNOR_0495.tiff,864,146,837,114,2
AgNOR_0495.tiff,962,171,934,146,3
AgNOR_0495.tiff,902,81,876,55,1
AgNOR_0495.tiff,891,42,855,21,2
AgNOR_0495.tiff,974,104,939,74,1
AgNOR_0495.tiff,977,79,955,58,1
AgNOR_0495.tiff,976,44,950,19,1
AgNOR_0495.tiff,1004,105,981,82,2
AgNOR_0495.tiff,992,150,967,130,1
AgNOR_0495.tiff,988,132,966,115,1
AgNOR_0495.tiff,950,16,922,0,1
AgNOR_0495.tiff,1007,16,978,0,1
AgNOR_0495.tiff,1055,51,1020,26,2
AgNOR_0495.tiff,1046,129,1021,100,3
AgNOR_0495.tiff,1069,134,1047,109,1
AgNOR_0495.tiff,1101,125,1073,94,1
AgNOR_0495.tiff,1095,79,1064,45,0
AgNOR_0495.tiff,1126,91,1098,54,1
AgNOR_0495.tiff,1180,106,1148,81,4
AgNOR_0495.tiff,1210,92,1179,60,2
AgNOR_0495.tiff,1172,160,1144,127,2
AgNOR_0495.tiff,1154,179,1124,149,1
AgNOR_0495.tiff,1223,136,1189,105,4
AgNOR_0495.tiff,1236,118,1209,94,5
AgNOR_0495.tiff,1242,59,1209,34,3
AgNOR_0495.tiff,1265,90,1237,58,1
AgNOR_0495.tiff,1286,60,1258,36,2
AgNOR_0495.tiff,1321,30,1298,4,1
AgNOR_0495.tiff,1238,177,1214,155,1
AgNOR_0495.tiff,1255,144,1232,124,1
AgNOR_0495.tiff,1269,160,1247,137,3
AgNOR_0495.tiff,1330,193,1295,159,1
AgNOR_0495.tiff,1388,144,1360,117,1
AgNOR_0495.tiff,1454,159,1423,126,2
AgNOR_0495.tiff,1356,135,1329,109,0
AgNOR_0495.tiff,1370,72,1339,44,2
AgNOR_0495.tiff,1306,132,1281,108,1
AgNOR_0495.tiff,1178,30,1150,9,1
AgNOR_0495.tiff,1496,140,1464,108,2
AgNOR_0495.tiff,1542,137,1507,107,2
AgNOR_0495.tiff,1535,162,1507,135,1
AgNOR_0495.tiff,1565,42,1535,12,2
AgNOR_0495.tiff,1569,104,1544,67,2
AgNOR_0495.tiff,1555,184,1528,153,1
AgNOR_0495.tiff,1566,204,1534,170,1
AgNOR_0495.tiff,1519,206,1482,180,4
AgNOR_0495.tiff,1539,244,1503,210,1
AgNOR_0495.tiff,1555,304,1530,272,1
AgNOR_0495.tiff,1527,274,1504,248,3
AgNOR_0495.tiff,1475,262,1447,231,3
AgNOR_0495.tiff,1456,279,1429,253,0
AgNOR_0495.tiff,1475,293,1451,268,2
AgNOR_0495.tiff,1482,369,1453,341,3
AgNOR_0495.tiff,1559,385,1535,356,1
AgNOR_0495.tiff,1568,352,1527,322,7
AgNOR_0495.tiff,1525,377,1495,346,2
AgNOR_0495.tiff,1444,388,1410,360,4
AgNOR_0495.tiff,1438,360,1410,331,1
AgNOR_0495.tiff,1391,363,1357,331,3
AgNOR_0495.tiff,1392,312,1364,289,1
AgNOR_0495.tiff,1361,294,1332,258,1
AgNOR_0495.tiff,1391,287,1362,258,2
AgNOR_0495.tiff,1425,273,1401,242,1
AgNOR_0495.tiff,1453,238,1427,204,2
AgNOR_0495.tiff,1364,232,1333,206,2
AgNOR_0495.tiff,1393,228,1368,196,1
AgNOR_0495.tiff,1326,315,1302,286,1
AgNOR_0495.tiff,1308,277,1282,244,1
AgNOR_0495.tiff,1334,388,1302,353,2
AgNOR_0495.tiff,1467,319,1439,293,1
AgNOR_0495.tiff,1263,212,1236,182,1
AgNOR_0495.tiff,1226,244,1203,212,1
AgNOR_0495.tiff,1212,253,1184,222,2
AgNOR_0495.tiff,1162,217,1135,184,1
AgNOR_0495.tiff,1139,262,1108,232,2
AgNOR_0495.tiff,1194,314,1168,286,1
AgNOR_0495.tiff,1235,310,1202,275,2
AgNOR_0495.tiff,1199,346,1163,321,1
AgNOR_0495.tiff,1076,330,1048,303,2
AgNOR_0495.tiff,1070,306,1036,277,1
AgNOR_0495.tiff,1060,275,1028,250,2
AgNOR_0495.tiff,1115,196,1092,167,0
AgNOR_0495.tiff,1162,364,1131,335,1
AgNOR_0495.tiff,1111,370,1083,350,1
AgNOR_0495.tiff,1167,325,1142,303,0
AgNOR_0495.tiff,1037,354,1009,320,2
AgNOR_0495.tiff,966,331,946,300,1
AgNOR_0495.tiff,995,335,968,300,4
AgNOR_0495.tiff,937,289,914,251,2
AgNOR_0495.tiff,992,205,969,177,1
AgNOR_0495.tiff,1091,235,1070,211,1
AgNOR_0495.tiff,1089,291,1068,263,2
AgNOR_0495.tiff,915,233,894,205,1
AgNOR_0495.tiff,878,241,857,214,1
AgNOR_0495.tiff,871,212,852,186,0
AgNOR_0495.tiff,852,250,826,217,2
AgNOR_0495.tiff,820,272,787,242,1
AgNOR_0495.tiff,799,300,778,276,1
AgNOR_0495.tiff,846,297,821,272,0
AgNOR_0495.tiff,844,323,817,303,1
AgNOR_0495.tiff,859,351,824,325,2
AgNOR_0495.tiff,727,326,706,301,1
AgNOR_0495.tiff,736,350,715,325,1
AgNOR_0495.tiff,715,353,695,330,0
AgNOR_0495.tiff,703,327,685,297,2
AgNOR_0495.tiff,759,261,738,231,1
AgNOR_0495.tiff,752,222,729,199,1
AgNOR_0495.tiff,821,221,794,196,2
AgNOR_0495.tiff,786,370,766,348,1
AgNOR_0495.tiff,869,374,843,351,1
AgNOR_0495.tiff,818,378,791,343,4
AgNOR_0495.tiff,661,286,631,256,3
AgNOR_0495.tiff,660,359,634,328,1
AgNOR_0495.tiff,619,363,598,327,2
AgNOR_0495.tiff,624,292,600,262,4
AgNOR_0495.tiff,670,252,643,223,1
AgNOR_0495.tiff,650,233,627,210,2
AgNOR_0495.tiff,793,197,768,166,0
AgNOR_0495.tiff,676,386,639,364,1
AgNOR_0495.tiff,579,377,544,351,2
AgNOR_0495.tiff,562,220,538,191,1
AgNOR_0495.tiff,531,210,505,177,1
AgNOR_0495.tiff,486,252,452,223,1
AgNOR_0495.tiff,451,232,414,206,1
AgNOR_0495.tiff,457,263,430,236,1
AgNOR_0495.tiff,511,266,487,233,2
AgNOR_0495.tiff,521,232,499,203,2
AgNOR_0495.tiff,498,222,477,196,1
AgNOR_0495.tiff,391,247,370,224,1
AgNOR_0495.tiff,359,237,323,207,1
AgNOR_0495.tiff,374,305,348,279,1
AgNOR_0495.tiff,322,321,298,299,1
AgNOR_0495.tiff,205,231,185,208,1
AgNOR_0495.tiff,151,206,123,183,3
AgNOR_0495.tiff,197,259,162,230,1
AgNOR_0495.tiff,152,281,127,258,1
AgNOR_0495.tiff,229,301,202,278,1
AgNOR_0495.tiff,232,271,205,251,1
AgNOR_0495.tiff,231,333,199,304,4
AgNOR_0495.tiff,95,295,65,270,1
AgNOR_0495.tiff,78,266,50,237,1
AgNOR_0495.tiff,74,213,43,185,1
AgNOR_0495.tiff,151,241,124,213,0
AgNOR_0495.tiff,26,264,3,237,1
AgNOR_0495.tiff,52,227,17,203,1
AgNOR_0495.tiff,96,347,58,321,2
AgNOR_0495.tiff,129,354,101,327,1
AgNOR_0495.tiff,30,369,0,340,6
AgNOR_0495.tiff,176,360,150,335,1
AgNOR_0495.tiff,66,390,39,368,2
AgNOR_0495.tiff,35,402,4,377,1
AgNOR_0495.tiff,67,427,40,400,2
AgNOR_0495.tiff,175,417,153,395,1
AgNOR_0495.tiff,245,369,211,345,1
AgNOR_0495.tiff,308,374,272,343,1
AgNOR_0495.tiff,347,381,315,350,2
AgNOR_0495.tiff,373,461,341,436,1
AgNOR_0495.tiff,315,421,291,396,1
AgNOR_0495.tiff,292,407,243,377,4
AgNOR_0495.tiff,310,446,269,426,4
AgNOR_0495.tiff,299,426,270,409,0
AgNOR_0495.tiff,328,464,299,440,1
AgNOR_0495.tiff,204,484,177,456,2
AgNOR_0495.tiff,430,453,397,426,2
AgNOR_0495.tiff,416,398,381,373,1
AgNOR_0495.tiff,445,404,416,379,2
AgNOR_0495.tiff,512,365,484,337,1
AgNOR_0495.tiff,519,416,493,389,1
AgNOR_0495.tiff,565,410,532,382,2
AgNOR_0495.tiff,536,438,508,411,3
AgNOR_0495.tiff,518,462,492,437,2
AgNOR_0495.tiff,524,493,491,472,1
AgNOR_0495.tiff,657,447,631,422,0
AgNOR_0495.tiff,700,478,677,449,1
AgNOR_0495.tiff,769,466,742,435,1
AgNOR_0495.tiff,727,493,702,466,1
AgNOR_0495.tiff,882,411,854,383,2
AgNOR_0495.tiff,821,450,795,418,2
AgNOR_0495.tiff,771,308,745,273,1
AgNOR_0495.tiff,921,492,899,465,1
AgNOR_0495.tiff,1032,424,1008,398,1
AgNOR_0495.tiff,1049,398,1019,374,2
AgNOR_0495.tiff,1076,379,1045,351,2
AgNOR_0495.tiff,1097,448,1072,410,3
AgNOR_0495.tiff,1109,491,1073,463,1
AgNOR_0495.tiff,1150,426,1111,390,2
AgNOR_0495.tiff,1171,404,1144,379,1
AgNOR_0495.tiff,1225,431,1197,394,1
AgNOR_0495.tiff,1254,418,1229,384,1
AgNOR_0495.tiff,1239,488,1212,461,2
AgNOR_0495.tiff,1293,492,1269,454,1
AgNOR_0495.tiff,1286,430,1264,402,0
AgNOR_0495.tiff,1373,448,1346,413,1
AgNOR_0495.tiff,1434,440,1411,417,2
AgNOR_0495.tiff,1449,457,1418,434,1
AgNOR_0495.tiff,1449,486,1423,459,1
AgNOR_0495.tiff,1495,485,1466,453,1
AgNOR_0495.tiff,1519,423,1488,390,2
AgNOR_0495.tiff,1514,508,1486,480,1
AgNOR_0495.tiff,1536,523,1513,498,1
AgNOR_0495.tiff,1529,548,1501,520,1
AgNOR_0495.tiff,1499,619,1474,589,1
AgNOR_0495.tiff,1454,616,1422,584,1
AgNOR_0495.tiff,1463,652,1437,627,1
AgNOR_0495.tiff,1444,679,1406,640,1
AgNOR_0495.tiff,1389,647,1361,621,3
AgNOR_0495.tiff,1382,581,1353,550,2
AgNOR_0495.tiff,1356,556,1329,527,1
